-90.000000	0.020776	0.138651
-80.000000	0.012347	0.081056
-70.000000	-0.036963	0.103219
-60.000000	0.052169	0.084571
-50.000000	-0.358960	0.071701
-40.000000	-0.324133	0.078522
-30.000000	-0.337095	0.066292
-20.000000	-0.223995	0.064190
-10.000000	-0.032915	0.061194
0.000000	0.080711	0.039591
10.000000	0.057397	0.041666
20.000000	0.158077	0.058057
30.000000	0.451289	0.077488
40.000000	0.628580	0.054959
50.000000	0.464886	0.057473
60.000000	0.355321	0.059742
70.000000	0.202903	0.033609
80.000000	0.115450	0.087867
90.000000	-0.052905	0.069549
