-90.000000	0.021443	0.154899
-80.000000	0.015515	0.091025
-70.000000	-0.041803	0.118067
-60.000000	0.064780	0.104704
-50.000000	-0.468207	0.083706
-40.000000	-0.485079	0.096688
-30.000000	-0.553882	0.100210
-20.000000	-0.483972	0.115792
-10.000000	-0.088605	0.154747
0.000000	0.211428	0.113952
10.000000	0.163505	0.125631
20.000000	0.294541	0.109708
30.000000	0.644992	0.058303
40.000000	0.862452	0.039265
50.000000	0.753954	0.063678
60.000000	0.648633	0.058030
70.000000	0.425975	0.051350
80.000000	0.265370	0.203288
90.000000	-0.116994	0.149261
